timestamp,temp, press, hum, alt, v_speed, ctime
1681556004.5339277,41.899140625,968.8758069560009,19.527283602412332,0.2456049397378579,0,Sat Apr 15 12:53:24 2023
1681556005.1250126,41.9091015625,968.8779856922124,19.527932214998277,0.2266348118792716,0.032093741567923405,Sat Apr 15 12:53:25 2023
1681556006.302182,41.9065625,968.8721240970506,19.522751214509963,0.27767145422969985,-0.043355396164903325,Sat Apr 15 12:53:26 2023
1681556007.485089,41.9305859375,968.8831287177345,19.524315340893246,0.18185492860052,0.08100088778341823,Sat Apr 15 12:53:27 2023
1681556008.071768,41.9372265625,968.881670446202,19.51973182569337,0.1945519545423613,-0.021642203549369382,Sat Apr 15 12:53:28 2023
1681556009.2487288,41.9532421875,968.8866773834868,19.535823629191974,0.150957111668506,0.03704018547542449,Sat Apr 15 12:53:29 2023
1681556010.421022,41.964375,968.8907535167865,19.556617765593018,0.11546680967604028,0.03027425426558942,Sat Apr 15 12:53:30 2023
1681556011.01207,41.9594921875,968.8950617336724,19.54124769234525,0.07795592094231307,0.06346504614070675,Sat Apr 15 12:53:31 2023
1681556012.194734,41.9528515625,968.8982666308141,19.560883711120333,0.050051531295614016,0.023594517096061276,Sat Apr 15 12:53:32 2023
1681556013.3799908,41.9528515625,968.8773139518823,19.590992596148315,0.23248361168479392,-0.1539177777894431,Sat Apr 15 12:53:33 2023
1681556014.5645394,41.9735546875,968.8776946571794,19.607402938994806,0.22916883476971517,0.0027983460274739677,Sat Apr 15 12:53:34 2023
1681556015.1556182,41.9747265625,968.8726095913557,19.61751914363867,0.27344426790876786,-0.07490614832938089,Sat Apr 15 12:53:35 2023
1681556016.332036,41.9825390625,968.8835259889404,19.648154152648196,0.17839593020104516,0.08079471041435081,Sat Apr 15 12:53:36 2023
1681556017.5152,41.9864453125,968.8933495505285,19.66849670291159,0.09286358307702414,0.0722912087460839,Sat Apr 15 12:53:37 2023
1681556018.1062837,41.9891796875,968.8942891526978,19.66867596890097,0.08468263803263598,0.013840584919422074,Sat Apr 15 12:53:38 2023
1681556019.2895877,41.9919140625,968.8760209681102,19.67889988379201,0.24374154738056153,-0.13441930370119573,Sat Apr 15 12:53:39 2023
1681556020.464581,41.9966015625,968.8836183510579,19.689252892884475,0.177591743173664,0.05629802784789724,Sat Apr 15 12:53:40 2023
1681556021.0556033,42.002265625,968.8927985399919,19.694647738746355,0.09766113450086711,0.13524128450686393,Sat Apr 15 12:53:41 2023
1681556022.2448926,41.999921875,968.8767765702225,19.694493891919702,0.23716256155808524,-0.11729814046911491,Sat Apr 15 12:53:42 2023
1681556023.4199169,42.009296875,968.881493975704,19.7051563496231,0.1960884667584073,0.034955954368776694,Sat Apr 15 12:53:43 2023
1681556024.0110233,42.003046875,968.8731104997383,19.71981760975082,0.2690828734122308,-0.12348775927114265,Sat Apr 15 12:53:44 2023
1681556025.200336,42.0094921875,968.8940339768678,19.725265565150426,0.08690440689740342,0.1531796196724013,Sat Apr 15 12:53:45 2023
1681556026.3827715,42.0145703125,968.8882946783353,19.750724500841155,0.13687554530909085,-0.04226119554226585,Sat Apr 15 12:53:46 2023
1681556027.5585008,42.0235546875,968.8801549381376,19.766393540665455,0.20774734969826958,-0.06027901653147422,Sat Apr 15 12:53:47 2023
1681556028.150287,42.03078125,968.8901209121573,19.776922490842725,0.12097479859039639,0.1466282231687034,Sat Apr 15 12:53:48 2023
1681556029.3328092,42.0243359375,968.8779286328217,19.801633096946098,0.2271316241934107,-0.0897715213326723,Sat Apr 15 12:53:49 2023
1681556030.5226042,42.0235546875,968.8784086944165,19.841807796273898,0.2229517606091047,0.003513095553210165,Sat Apr 15 12:53:50 2023
1681556031.1136875,42.0270703125,968.8631514939957,19.84706930684513,0.3557959849994763,-0.22474704841773804,Sat Apr 15 12:53:51 2023
1681556032.2959569,42.0364453125,968.8800917156374,19.88289957016933,0.20829782279971232,0.12475851132988884,Sat Apr 15 12:53:52 2023
1681556033.4793036,42.0407421875,968.8870556362618,19.89324605433805,0.14766371447655136,0.05123951065704205,Sat Apr 15 12:53:53 2023
1681556034.0705307,42.0462109375,968.8854409963923,19.91876700358579,0.16172217884160567,-0.0237784523826672,Sat Apr 15 12:53:54 2023
1681556035.2464588,42.0536328125,968.8782599489668,19.909194958589218,0.22424687692327971,-0.05317051037321231,Sat Apr 15 12:53:55 2023
1681556036.4225137,42.0551953125,968.8755532424153,19.904266670089147,0.24781401123003421,-0.020039143762798715,Sat Apr 15 12:53:56 2023
1681556037.021026,42.058125,968.882047576022,19.919557156493273,0.1912683210297772,0.09447709299756718,Sat Apr 15 12:53:57 2023
1681556038.1978028,42.0596875,968.8793408285612,19.949858656112333,0.21483573693678704,-0.02002708940638017,Sat Apr 15 12:53:58 2023
1681556039.3809104,42.0630078125,968.8794828380727,19.990353987097883,0.21359927108472676,0.0010451000711079333,Sat Apr 15 12:53:59 2023
1681556040.563922,42.060859375,968.8742546532013,20.020424908460186,0.2591207698505438,-0.03847933645702187,Sat Apr 15 12:54:00 2023
1681556041.1549945,42.06515625,968.8742329126286,20.035820858793855,0.2593100641585133,-0.00032025561832132603,Sat Apr 15 12:54:01 2023
1681556042.3381317,42.068671875,968.8746913448396,20.061242086731045,0.25531851377718184,0.003373700407807724,Sat Apr 15 12:54:02 2023
1681556043.5213847,42.076875,968.8722680567505,20.076904362531533,0.27641800067748523,-0.01783176210952499,Sat Apr 15 12:54:03 2023
1681556044.1052694,42.0801953125,968.8724097819638,20.082164816354677,0.2751840028941466,0.0021134271020496077,Sat Apr 15 12:54:04 2023
