timestamp,lat,lon,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,heading,opt_heading,hor_speed, ctime
1681559312.0,50.347325,19.536558333333332,9.982189035,0.15298374,-0.07649187,-81.6,6.8999999999999995,-104.85,193.8836875497824,202.42628796225924,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347325,19.536558333333332,9.982189035,0.15298374,-0.07649187,-71.1,13.35,-104.39999999999999,186.17759330475633,202.42628796225924,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347325,19.536558333333332,9.79095936,0.191229675,-0.114737805,-67.95,13.95,-104.25,185.44470008615542,202.42628796225924,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347325,19.536558333333332,9.79095936,0.191229675,-0.114737805,-67.64999999999999,7.5,-105.3,193.1837556741317,202.42628796225924,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347325,19.536558333333332,9.79095936,0.191229675,-0.114737805,-68.7,6.1499999999999995,-105.75,194.75267476061674,202.42628796225924,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347325,19.536558333333332,9.79095936,0.191229675,-0.114737805,-68.7,6.1499999999999995,-105.75,194.75267476061674,202.42628796225924,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347325,19.536558333333332,9.79095936,0.191229675,-0.114737805,-79.8,14.1,-106.2,185.26118772344682,202.42628796225924,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347325,19.536558333333332,10.32640245,0.38245935,0.07649187,-69.89999999999999,23.4,-105.89999999999999,173.82240669524367,202.42628796225924,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347348333333336,19.536516666666667,10.32640245,0.38245935,0.07649187,-69.3,18.75,-107.55,179.53720086073326,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347348333333336,19.536516666666667,10.32640245,0.38245935,0.07649187,-68.1,18.599999999999998,-104.55,179.72231665145728,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347348333333336,19.536516666666667,10.670615864999998,0.30596748,-0.15298374,-66.0,5.25,-105.6,195.78634332343438,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347348333333336,19.536516666666667,10.670615864999998,0.30596748,-0.15298374,-66.0,5.25,-105.6,195.78634332343438,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
